Type,Median Slow,Median Fast,Median Diff,Median Percentage,Mean Slow,Mean Fast,Mean Diff,Mean Percentage,Std Slow,Std Fast,Std Diff,Std Percentage,25th Percentile Slow,25th Percentile Fast,25th Percentile Diff,25th Percentile Percentage,75th Percentile Slow,75th Percentile Fast,75th Percentile Diff,75th Percentile Percentage
Dominant,0.009511512,0.011585877500000001,-0.0020743655000000014,-21.808998401095444,0.010984565102142857,0.013553026288571428,-0.0025684611864285715,-23.382456770432533,0.004869714216611905,0.0064315786643222884,-0.0015618644477103831,-32.07302067916929,0.00840987275,0.010087628749999999,-0.001677755999999999,-19.94983812329383,0.01158794975,0.014728916750000001,-0.0031409670000000015,-27.10545927246536
Large,0.022541118,0.037717028,-0.01517591,-67.32545386613033,0.04204913554285714,0.06789551944285716,-0.025846383900000013,-61.467099302569416,0.0505995510149945,0.06761512257595018,-0.017015571560955678,-33.62791016843873,0.01463037725,0.0193858835,-0.0047555062499999995,-32.504331014430946,0.0433324685,0.09266070000000001,-0.049328231500000014,-113.8366523014954
Moderate,0.38829209,0.44765365,-0.059361560000000035,-15.287862289442991,0.39668070500714286,0.455299744,-0.05861903899285714,-14.777386006662868,0.16966937743911703,0.1735723609033178,-0.00390298346420076,-2.300346428512876,0.25254682,0.2897157625,-0.03716894249999997,-14.717644237215092,0.5442972450000001,0.6219122850000001,-0.07761503999999997,-14.259679010500953
Small,0.56417005,0.496627305,0.06754274499999996,11.972054347798144,0.5307305333928571,0.44980557302857144,0.0809249603642857,15.247843354130797,0.20177877275332767,0.22369829294261054,-0.021919520189282865,-10.863144765024039,0.3989689575,0.241774525,0.1571944325,39.400166239750625,0.69159147,0.666745025,0.024846444999999995,3.592647694165458
No,0.010523193,0.0106192895,-9.609650000000011e-05,-0.9131876608173976,0.019555060649285715,0.013446144838571431,0.006108915810714283,31.23956463380963,0.040661563654542,0.011664913828187844,0.028996649826354158,71.31218580944847,0.00900963,0.00920237325,-0.0001927432500000003,-2.1393026128708983,0.01430097525,0.011680778499999999,0.0026201967500000013,18.32180466153874
