Type,Median Slow,Median Fast,Median Diff,Median Percentage,Mean Slow,Mean Fast,Mean Diff,Mean Percentage,Std Slow,Std Fast,Std Diff,Std Percentage,25th Percentile Slow,25th Percentile Fast,25th Percentile Diff,25th Percentile Percentage,75th Percentile Slow,75th Percentile Fast,75th Percentile Diff,75th Percentile Percentage
Tight,0.616048545,0.49578133,0.12026721499999993,19.52236004388257,0.5668816054285714,0.48715075799999996,0.0797308474285714,14.064814709994625,0.21072169175062708,0.18387701682326651,0.026844674927360562,12.73939797290977,0.39213019,0.37053069250000004,0.021599497499999953,5.508246508640396,0.731957355,0.644458,0.08749935500000006,11.954160225632277
Medium,0.29160038499999996,0.34135549,-0.04975510500000002,-17.062770681869992,0.3060012906857143,0.344281663,-0.038280372314285716,-12.509872827171325,0.12473060583320339,0.0976792513450569,0.027051354488146495,21.687824177107785,0.216525075,0.266492945,-0.04996786999999997,-23.07717477987248,0.3829832,0.4148353175,-0.0318521175,-8.3168445769945
Loose,0.092708298,0.13105293499999998,-0.03834463699999999,-41.36052308931396,0.1271171054714286,0.16856757754285714,-0.041450472071428546,-32.60809937238945,0.11396744725096462,0.1256382494983537,-0.011670802247389075,-10.240470001656805,0.0401264395,0.08106171000000001,-0.04093527050000001,-102.01570587891311,0.1756826675,0.20877453499999998,-0.03309186749999998,-18.83615952040345
